-- The C compiler identification is GNU 11.4.0
-- The CXX compiler identification is GNU 11.4.0
-- Detecting C compiler ABI info
-- Detecting C compiler ABI info - done
-- Check for working C compiler: /usr/bin/cc - skipped
-- Detecting C compile features
-- Detecting C compile features - done
-- Detecting CXX compiler ABI info
-- Detecting CXX compiler ABI info - done
-- Check for working CXX compiler: /usr/bin/c++ - skipped
-- Detecting CXX compile features
-- Detecting CXX compile features - done
-- Found ament_cmake: 1.3.9 (/opt/ros/humble/share/ament_cmake/cmake)
-- Found Python3: /usr/bin/python3 (found version "3.10.12") found components: Interpreter 
-- Override CMake install command with custom implementation using symlinks instead of copying resources
-- Configuring done
-- Generating done
-- Build files have been written to: /ros2_ws/build/husarion_ugv_description
-- Install configuration: "Release"
-- Execute custom install script
-- Symlinking: /ros2_ws/install/husarion_ugv_description/share/husarion_ugv_description/config/WH01.yaml
-- Symlinking: /ros2_ws/install/husarion_ugv_description/share/husarion_ugv_description/config/WH02.yaml
-- Symlinking: /ros2_ws/install/husarion_ugv_description/share/husarion_ugv_description/config/WH04.yaml
-- Symlinking: /ros2_ws/install/husarion_ugv_description/share/husarion_ugv_description/config/WH05.yaml
-- Symlinking: /ros2_ws/install/husarion_ugv_description/share/husarion_ugv_description/config/components.yaml
-- Symlinking: /ros2_ws/install/husarion_ugv_description/share/husarion_ugv_description/launch/load_urdf.launch.py
-- Symlinking: /ros2_ws/install/husarion_ugv_description/share/husarion_ugv_description/launch/overwrite_robot_description.launch.py
-- Symlinking: /ros2_ws/install/husarion_ugv_description/share/husarion_ugv_description/launch/rviz.launch.py
-- Symlinking: /ros2_ws/install/husarion_ugv_description/share/husarion_ugv_description/launch/visualize_fake_robot.launch.py
-- Symlinking: /ros2_ws/install/husarion_ugv_description/share/husarion_ugv_description/meshes/WH01/fl_wheel.dae
-- Symlinking: /ros2_ws/install/husarion_ugv_description/share/husarion_ugv_description/meshes/WH01/fr_wheel.dae
-- Symlinking: /ros2_ws/install/husarion_ugv_description/share/husarion_ugv_description/meshes/WH01/rl_wheel.dae
-- Symlinking: /ros2_ws/install/husarion_ugv_description/share/husarion_ugv_description/meshes/WH01/rr_wheel.dae
-- Symlinking: /ros2_ws/install/husarion_ugv_description/share/husarion_ugv_description/meshes/WH02/fl_wheel.dae
-- Symlinking: /ros2_ws/install/husarion_ugv_description/share/husarion_ugv_description/meshes/WH02/fr_wheel.dae
-- Symlinking: /ros2_ws/install/husarion_ugv_description/share/husarion_ugv_description/meshes/WH02/rl_wheel.dae
-- Symlinking: /ros2_ws/install/husarion_ugv_description/share/husarion_ugv_description/meshes/WH02/rr_wheel.dae
